,audiocap_id,youtube_id,start_time,caption
15,5989,1OIm8vLHCwo,19,An adult female speaks and a cat meows
30,88395,oy2b5i_4-20,0,A woman talking and then a cat meowing
50,278,-68677bCJWM,16,Distressed cat growling and hissing violently while woman laughs and talks
165,20253,7XCaCkHgkZM,30,A cat is meowing over and over
257,15554,5MSE1-YlVfc,30,A woman speaks followed by laughter and a cat crying
317,21937,8N5eETeI8Z0,17,"A child cries, a woman speaks, cat shrieks and the child cries more"
488,85670,mvbjcYC2TaY,30,Someone talking and a cat hissing and screeching
571,8032,2DfZ21h3rM4,3,A cat is meowing
635,69696,bGazZPvrAfQ,10,Deep laughing followed by a cat meowing and a man speaking
653,16005,5ZRdc9DgtBA,20,A cat meowing then a man speaks
699,20860,7pSb9zMzS4k,30,A cat meows then a man speaks
785,21406,863STpyfGB0,0,A cat meows several times and two people laugh
975,57439,TkFolVOaRMI,60,A cat meows and something shuffles on a hard surface
1015,793,-I1upuU0HXs,16,A cat is making noise and then a vehicle drives by
1143,6258,1VVr6_KQGwc,30,"Water runs, a cat groans angrily"
1146,6251,1VPLhdQgQyE,2,Scratching sounds are followed by a meowing cat
1151,6254,1VQZAJgvzWI,30,"Silence and some faint cracking noises, a cat meows"
1217,94912,twdnno2e6lQ,40,"Boy laughing, followed by cat meowing and girl laughing"
1483,23037,8utr82ke-Rk,0,A girl calling an animal and a cat meowing
1490,1448,-YPLUYrPlD4,30,"A cat meows, then a woman's voice is heard while in the background water can be heard splashing"
1570,192,-46mOzNQICY,21,A large bang followed by a cat hiss and growl
1587,70540,bsHRFtS2vZY,5,A cat meowing then purring as a young girl speaks
1617,14149,4ksEvXq-i7w,110,A cat meows a person laughs and speaks
1621,14147,4ks0_dkWNGw,10,A cat meows once
1714,19464,79_nR8rCwNY,10,A cat meows and then a woman sings a song then the cat meows again
1803,20127,7TTYk6pgMNw,30,A cat is hissing and people are laughing
1841,79395,iItv5WkZsv0,60,"A woman talks, followed by a cat meowing, after which a child speaks nearby"
1843,48551,Nkv47Gmn66Q,40,"A cat meowing in terror while ladies talk and a bird squawks, ending with a short silence"
1931,2297,-tvrWGyzObY,4,"A man speaks followed by a cat meowing, the man laughs followed by a loud thud"
1934,2294,-ttKN5Ba368,30,"Men speak, a loud crack followed by a sharp meow of a cat"
1945,10917,3OgmNR1UCgM,25,"A man speaks, a woman laughs, and a cat meows"
1971,16422,5kBiaQEDdW8,3,"A bird chirps, an adult male speaks, a cat meows and caterwauls, and traffic is present in the background"
2134,22133,8THEyz540pk,30,Wind blowing and a cat crying
2147,73229,dpI5iyYM-Pc,23,A man makes sounds of a cat while a dog whines
2209,18812,6qxcYCOkw8I,30,A person speaks followed by a cat meow
2229,7121,1rPv2-OZLK4,16,A pet cat meows and a woman is speaking
2242,597,-DnrNt9gBJs,30,Some one speaking and there is a cat meow sound
2311,11222,3WgJuCTqHCM,30,Tapping noises followed by a cat meowing and someone drilling
2344,16625,5qLner5mtSY,15,A cat meows followed by tapping and panting then a burp
2350,88108,okWxjD-NJgA,23,A woman singing as a cat meows several times
2395,12283,3xLintYp7PY,12,A person is speaking and a cat meows
2420,21489,88Scqncznmo,20,Static voice of a man is on in the background followed by a cat meowing
2482,10599,3G6CJHZEVYM,30,A cat meows and a woman laughs
2532,66620,_5DSfZnQZPw,3,A man speaks followed by a cat meow without stopping followed by people laughing and a man talking
2555,22443,8cJL0VjIXzM,30,A cat meows and a man speaks
2771,71276,cQSInn5rTE8,20,Two women talks and a cat meows shortly
2824,14387,4r06TZ6uI6k,30,"A cat meows, and a man talks"
2888,63291,Xmap5zZASI4,210,A woman speaks as dishes clatter with a cat meowing in the background
2911,13734,4_xMLEQztQ8,30,Baby crawling on floor while communicating followed by a man saying something and a cat meowing
2932,19159,70zcv06HjpA,30,A woman is doing baby talk and cat meows a little
2973,100529,yEjaVbGsltw,23,A woman speaking briefly followed by a cat softly meowing
2976,46003,M7jtDlV39r8,30,Water spraying and trickling followed by a cat meowing
3332,89940,q6WcbaKv0UY,0,A dog growling and barking as a cat hisses with tapping on a plastic surface several times
3406,10169,34nb4_NIs_4,13,Some humming followed by a cat meowing
3420,14881,54Br5mQ8idE,30,A cat meows while birds are chirping
3548,10992,3QOZzr4qCsg,20,A cat meowing angrily
3704,24379,9_Y6aIbz4zw,0,A cat meowing quietly
3834,56096,SpDN6XUSqr8,100,"A cat continuously meows, as if it is snoring rhythmically"
3951,18182,6ZMzGTRIxFE,30,"Roaring and clacking are present, a cat meows, and a bird chirps"
3962,518,-Bnctvh_6uc,18,A person is mimicking a cat's meow and speculating that the cat wants to be picked up
4036,6543,1bvRkyT2Q5I,29,Continuous meowing cat
4037,8648,2TGTLMkOXkg,30,A clicking noise and a cat meows
4048,19634,7Ekb8pAxRh4,23,A cat hisses quietly
4055,19633,7Ek0avZRI6Q,30,A cat is meowing in a distress as a woman speaks
4056,74868,f2ztuNPUUVk,15,A woman speaks and a cat meows
4100,20600,7h-wCrAdSNY,30,An engine humming as a cat meows and people speak
4139,7362,1x0J9Z8et6g,0,A loud fart is followed by a quiet cat meow
4229,17896,6QpVyMw0JNs,16,A cat meows and purrs
4251,8084,2FLWHYDMedQ,30,A woman speaking and a cat meowing
4279,82591,kf91CI8RiC4,12,A cat purrs and then a cat meows
4310,16306,5gzsKaGvtyg,0,A cat meowing and crying
4316,2392,-w3qkf-V-PY,30,A cat is meowing and hisses as someone snickers
4329,21218,806GvKiEDBM,30,A woman laughing and making baby noises followed by a cat meowing
4560,4556,0ohDaDAgMC8,27,"A man speaks, a cat meows, and the man imitates the cat's meow"
4697,18029,6UpmNtEVY1w,30,"An adult male speaks, a cat meows, thumps, then gunfire"
4760,16540,5nnOibg6nYc,30,A woman speaks then a cat sighs
4771,12650,4720VXHoWLM,17,"A cat meows, some ringing"
4791,19840,7KkmH4QTNtE,0,A cat meows once
4832,90558,qZtQuU4cqXk,18,A cat meows multiple times nearby
4875,10493,3DOIkBRXnt4,3,A cat meows as a man talks to it
4885,885,-KVrHjbwy5M,50,A cat meows while an insect is heard buzzing
4892,14972,56pKpmMatJA,10,Whooshing sound followed by the meow of a cat
4897,20013,7QQco5nBYmY,15,A man is screaming and a cat is meowing in distress
5104,9046,2d-xAzl7wiQ,30,A cat meows followed by some loud clicking and a woman talking
5162,3131,0F8srmjGqtA,30,Man and women laughing at a cat meow
5252,22049,8R725VUsh2E,30,A woman speaks and a cat meows
5262,43925,KlCGS1LkvCk,30,A cat meows while a woman and a man laugh and talk
5343,8235,2IvNEoXArxU,30,A cat is meowing
5350,15539,5M5TrT9Elpc,30,A cat is meowing in the background then suddenly the vocal chirrups in intensity
5449,16166,5dEWjIBVYLo,30,A young girl talking and cat meowing
5452,17260,68BzgxAFReI,28,Man in shock is verbalizing something to his surprise while a cat is hissing in the background
5461,9205,2gvtmPZBNqw,30,Knocking and mechanical humming with a cat purring and meowing
5516,17486,6E0LhMYZg4o,30,Rustling with a cat meowing and a person laughing
5594,67667,_pbqBYwHiXw,0,A cat meowing loudly with a person talking
5613,27643,B9p9q6CvXG8,30,Banging noises and cat cry
5666,22683,8jJqAyo83b0,30,A cat meows and a person whistles
5687,87498,oHvUt-CWB8c,30,Birds are chirping while a cat meows
5747,1180,-RP1-cUHLT8,22,A bike sound followed by a cat sound
5761,15733,5RSiNj3FdLE,10,Birds sing as a woman laughs and a cat meows
5762,15732,5RSEXD89PkE,1,"A human meows like a cat, an actual cat meows, and an adult male speaks in the background"
5784,18272,6bPsDyaaO0I,30,A man chuckles and speaks as a cat squeaks
5831,100420,y9OdVFVK8Y8,30,A cat meows and meows loudly closer and then farther away
6056,7460,2-2R9mLqrBI,30,Man speaking over loud noises and a cat meowing
6066,16071,5aA1-3lnJqk,19,A cat vocalizing itself while meowing repeatedly
6108,5852,1L8ciRtCm90,30,A cat hisses and an adult male is talking
6308,66186,ZmXh0wGzV2Y,10,A person talking with a cat growling
6425,64930,YvnRQY1uzZA,110,A woman speaks and a man speaks followed by a cat meowing followed by a woman speaking
6514,15299,5FoC4i8ZbfQ,30,"A man speaks, nails scratch on tile, a cat growls"
6557,4754,0tVL3VFW5Zs,24,Children are laughing and speaking and then a cat meows
6569,19779,7IXx3NhSbi0,50,A cat meows plaintively several times
6649,20093,7SYkQEKElKg,3,A man speaks and a cat meows in distress
6670,7202,1tJdV9lG8dI,30,A cat is meowing
6685,11612,3flBpZSeJWE,30,"A person is laughing, a cat is yowling, and water is splashing"
6748,17990,6TSqOcS65jk,30,The cat meows twice
6791,48847,NxgiIoy_j4A,10,A cat growling alongside fabric rustling
6937,79501,iNAIM2QoqeE,0,A cat meowing as children laugh and a man talks in the background followed by a goat screaming
6983,23398,95EUjkKsr1c,2,"An individual making calling sounds, followed by a cat meowing in response and audio frequency in the background"
7083,14393,4r7Lea8y-VU,30,A male mimicking the meow of a cat
7091,18967,6wQSp5eBT7k,30,A man talking and a cat meowing
7096,18962,6wJd7WKgXKo,30,A person laughs and a cat is meowing in distress
7197,6407,1ZiKrVqYzVo,30,A clicking noise and a cat meowing
7228,19924,7NWM09eGXBw,30,"Ticking is ongoing, scraping occurs, and a person purrs and meows like a cat"
7284,90455,qUiTqev43Iw,30,A cat meows and a man speaks
7317,10751,3KOi-KSXvnc,3,A grown man speaks and a cat squeals angrily
7349,79719,iYHrDtF6k34,180,"Lgun is cocked and fired, a man screams and a big cat roars"
7411,1105,-PK81pz3534,30,A motor is running and a cat is meowing
7539,102330,zguSB2RIKpw,16,A girl laughing as a cat meows and growls followed by a girl and boy talking while music plays in the background
7586,3074,0DX11ZZ4mUw,30,"Water is splashing and gurgling and a cat meows, and someone sniffs"
7699,6092,1QxDi-op6Qg,27,A man laughs and then a cat meows with low level background noise throughout
7705,77441,gtheEha_1Eg,4,A constant mind numbing repetitious mechanical cat sound
7764,71231,cORjyy47DXg,50,A cat meows low
7773,7171,1sakyqnaTOs,30,"Outside a cat meows, a man laughs and talks to it, a wind chime rings"
7940,10657,3HrhMbXIuEk,18,A cat meows twice
7951,7910,2Awp9Nvsb2A,30,"People speak to each other, and a cat wails angrily"
7961,20836,7oiDzl-h1xs,2,A cat meowing and singing
8008,13107,4J_hSJtHwn4,4,"A man speaks, a cat meows"
8080,27072,ArhMYArEt2w,30,Stringed instruments are played hard repetitively followed by a cat growl
8109,8320,2KjNkHQ8dvI,30,A man laughs and a cat meows loudly
8378,14359,4qHwbBkxbGI,30,"Woman talking, cat purring and meowing"
8391,17914,6RVYssBUoEE,30,A cat hissing and rustling something
8499,5790,1JQnaf1JdWU,5,A woman calls the name of a meowing cat
8523,11402,3aLSD8o2CF0,30,A woman is speaking and a cat meows
8578,16845,5ww9Fjpvxy4,13,Some rustling followed by a cat meowing
8751,22339,8ZxFObcaMbQ,23,A cat is making noises while the owner is playing with the cat
8758,22331,8ZmSpxseOtI,10,"An adult female speaks, a cat meows, and the female laughs"
8812,37761,GqOn_IbU908,30,A cat meows loudly nearby multiple times
8867,2067,-nbyQ5k5aFQ,30,A cat reacts to a television show and a woman is amused
8917,85947,n5sJcaVDqug,18,A cat meowing followed by silence
8939,15398,5IM-GZ9Oa4U,30,Spraying water and cat meows with muffled woman speech
8998,19432,78ZrHDLvwh0,30,A cat is meowing and something is being tapped on rapidly
9196,16499,5mSmtv4bGiQ,13,A cat meows loudly
9231,31240,D1VvX72k6do,30,A cat meowing and crying with music in the background
9362,26710,AhZ6UY0oXdU,0,A woman speaking and a cat meowing with people speaking in the distance
9519,18840,6sFsyoK8Nn0,29,A cat growls and hisses
9529,41225,J1ieQAzOGmc,30,A cat meows followed by dragging and scraping
9535,86517,nWEbiJc6zxc,5,A woman talks nearby and a cat meows twice at her while another woman speaks loudly further away
9778,20650,7ib32vgBN9M,21,"Kids singing, laughing, and making cat meows"
10014,21249,81C5ysSrqyY,0,A kid talking followed by a cat meowing then dishes breaking
10185,22751,8lRDJ3QlEK0,9,A small cat crying
10350,14530,4v89TDGH3do,30,A cat is meowing loudly
10429,12685,47oHinrJhJU,1,A cat meows and a girl is doing baby talk
10518,1929,-kKEV9mrbK4,30,A cat is purring
10557,20024,7Qm8wGjBX-8,0,Something slams and a cat lightly meows
10609,27737,BClbLPKe7R0,27,Murmuring followed by a cat meowing
10631,8400,2N1NHxc4NYY,30,Person is banging on door and cat meow
10641,9818,2wukzaZQsZI,30,"Water is gurgling, a cat meows, and an adult female speaks"
10844,100094,xtmErhSWQ0Y,30,A cat moaning with some light clicking and rustling
10891,6389,1ZHIoV0ybVU,8,A cat is meowing
11003,7590,221Ia1cD5dQ,22,"Wind blows hard, a cat meows"
11043,16142,5cWOyow_Drs,30,A cat meows and a woman speaks
11182,20492,7dH0WQZEpZQ,30,A cat is meowing softly several times
11290,73145,dlI2iVk7ssQ,30,"In a quiet environment, an adult female is speaking, two muted thumps occur, and a cat meows once"
11330,3729,0UKzyBqyhGc,27,Pet cat meowing out loud
11339,4930,0xzbWmrJCa0,30,A cat is meowing
11342,4933,0y69IaalTjY,10,A cat is snoring gently
11365,14016,4hjW385XyHE,30,A cat meows repeatedly
11586,5303,16th_TIPv84,30,Birds chirp and a cat meows
11689,2345,-v7RsB3lMyg,13,A cat meowing multiple times
11700,69639,bDoymkRKl0I,29,A person speaks and a cat meows
11713,49135,O8pAsSYXXJU,0,A cat meows continuously
11760,17003,617LMnMm9FA,30,Silence followed by a cat meowing very softly
11781,9681,2tdHHT0wNV0,30,Man speaking and cat meowing
11793,20519,7eJZgWKcXwQ,22,A cat meows in a distressed manner and a person laughs
11824,29335,C0AY0FEhOxU,30,A cat screaming then hissing as a woman briefly talks followed by plastic clacking then thumping several times
11896,22202,8VUxzR-cpsc,26,"An adult female laughs and speaks, and a cat meows"
11915,91923,rdDDBLYhTPQ,0,A cat meows like a baby crying
11965,25266,A2HaxSKLeqg,30,A cat meowing and women speaking
12046,18055,6VpcBh1KPSM,1,A cat is meowing softly several times then a man speaks
12054,18059,6VuHL1S2EWI,4,A man is doing a cartoon cat voice and meows
12064,42767,K0oQaeZqurw,30,A cat hissing and meowing as a snake hisses with a man shouting briefly
12141,69435,b3dYlDbU_78,30,A cat meowing before and after plastic rattling
12200,13553,4WkCDfxey-U,30,Person singing and cat meowing
12256,54431,Rh9GREjEoIo,30,Growls and meows from a cat
12516,68826,ae5GZL0kH7g,30,A cat purring followed by a meow
12577,74955,f6o8T8OSASw,30,Some banging followed by a cat meowing
12582,86217,nIXEe_5Mpk8,22,A machine works and a cat meows
12646,177,-3qVzrEZ8l0,30,"A woman talks to an angry cat, a dog barks, a cat meows and a man laughs"
12691,18935,6vGvX-CjJ50,7,A cat meows and purrs
12726,41686,JKSXn-XCEjQ,20,A cat meowing multiple times
12792,5715,1HfKtuB1-XA,40,A cat is meowing and an adult female is speaking and laughing
